Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2013,Aug,Sport,8.0,2.0,0.0,
2013,Sep,Agriculture & Fisheries,5.0,1.0,0.0,
2013,Sep,Catering,14.0,12.0,0.0,
2013,Sep,Domestic,2.0,2.0,0.0,
2013,Sep,Education,9.0,0.0,0.0,
2013,Sep,Entertainment,7.0,0.0,0.0,
2013,Sep,Industry,89.0,5.0,21.0,
2013,Sep,Medical & Nursing,35.0,4.0,2.0,
2013,Sep,Service Industry,238.0,23.0,4.0,
2013,Sep,Sport,3.0,0.0,0.0,
2013,Oct,Agriculture & Fisheries,3.0,3.0,0.0,
2013,Oct,Catering,13.0,13.0,0.0,
2013,Oct,Domestic,3.0,2.0,1.0,
2013,Oct,Education,5.0,2.0,0.0,
2013,Oct,Entertainment,5.0,0.0,0.0,
2013,Oct,Industry,95.0,12.0,1.0,
2013,Oct,Medical & Nursing,29.0,7.0,0.0,
2013,Oct,Service Industry,216.0,33.0,3.0,
2013,Oct,Sport,5.0,4.0,0.0,
2013,Nov,Agriculture & Fisheries,7.0,3.0,0.0,
2013,Nov,Catering,12.0,13.0,0.0,
2013,Nov,Domestic,0.0,2.0,0.0,
2013,Nov,Education,2.0,0.0,0.0,
2013,Nov,Entertainment,2.0,0.0,0.0,
2013,Nov,Industry,71.0,9.0,0.0,
